time,武汉,肺炎,口罩
2019-12-01,1099,420,137
2019-12-02,2349,843,254
2019-12-03,2073,726,276
2019-12-04,2147,803,265
2019-12-05,2095,814,243
2019-12-06,2105,763,279
2019-12-07,921,450,188
2019-12-08,613,476,169
2019-12-09,2193,864,299
2019-12-10,1805,820,291
2019-12-11,1710,842,324
2019-12-12,2064,763,202
2019-12-13,2069,757,129
2019-12-14,1111,434,157
2019-12-15,841,442,121
2019-12-16,2184,858,271
2019-12-17,2157,855,248
2019-12-18,2950,819,216
2019-12-19,2222,834,193
2019-12-20,2126,741,208
2019-12-21,385,450,163
2019-12-22,318,400,159
2019-12-23,1529,843,273
2019-12-24,1376,803,237
2019-12-25,1228,799,223
2019-12-26,2145,774,190
2019-12-27,509,730,194
2019-12-28,414,416,123
2019-12-29,265,422,131
2019-12-30,834,848,223
2019-12-31,29006,6786,475
2020-01-01,1740,943,112
2020-01-02,6647,1745,253
2020-01-03,4427,1421,247
2020-01-04,675,957,162
2020-01-05,506,930,140
2020-01-06,3615,1611,251
2020-01-07,2046,1264,218
2020-01-08,1393,1027,282
2020-01-09,2580,1142,274
2020-01-10,1045,932,233
2020-01-11,426,848,127
2020-01-12,361,603,95
2020-01-13,543,950,215
2020-01-14,984,925,215
2020-01-15,2250,960,225
2020-01-16,1549,1019,225
2020-01-17,2130,1294,239
2020-01-18,841,904,170
2020-01-19,9708,6715,817
2020-01-20,54670,37917,4250
2020-01-21,101003,54180,12100
2020-01-22,73392,52519,14552
2020-01-23,131400,44838,14712
2020-01-24,60688,29111,7737
2020-01-25,81423,40925,8358
2020-01-26,54498,36991,9652
2020-01-27,42289,32114,9490
2020-01-28,37162,31937,9959
2020-01-29,29333,29170,9130
2020-01-30,27021,27584,9079
2020-01-31,27692,27087,10635
2020-02-01,24163,21804,9938
2020-02-02,27149,22193,10178
2020-02-03,26006,23782,11951
2020-02-04,26721,21429,10971
2020-02-05,22318,22893,11318
2020-02-06,21899,22220,12016
2020-02-07,22372,22064,11313
2020-02-08,18305,18256,9463
2020-02-09,16905,17076,8953
2020-02-10,19419,21036,12402
2020-02-11,18596,18445,10651
2020-02-12,17340,17550,9687
2020-02-13,28941,25709,9512
2020-02-14,18316,18103,8849
2020-02-15,14764,14100,6686
2020-02-16,12387,12021,5649
2020-02-17,14711,15151,8689
2020-02-18,13782,13218,8226
2020-02-19,13383,12657,7788
2020-02-20,12774,13897,7280
2020-02-21,11789,13915,7377
2020-02-22,9340,9707,5322
