date,肺炎,武汉,口罩
2019-11-22,20457,749375,120687
2019-11-23,19789,611596,89267
2019-11-24,4510,610400,105771
2019-11-25,15249,947363,73616
2019-11-26,9751,776628,131110
2019-11-27,10393,797560,81305
2019-11-28,6035,723781,167157
2019-11-29,7171,1216969,140890
2019-11-30,6265,586625,120955
2019-12-01,8835,837462,62705
2019-12-02,4595,491262,87014
2019-12-03,3473,349786,219413
2019-12-04,4357,599978,70996
2019-12-05,5763,899344,750619
2019-12-06,3110,659495,150290
2019-12-07,7012,600172,245908
2019-12-08,16708,587432,228709
2019-12-09,11701,668680,185746
2019-12-10,8988,940803,207872
2019-12-11,6078,586686,289909
2019-12-12,4824,2482293,260165
2019-12-13,71271,556598,127911
2019-12-14,4060,653034,86457
2019-12-15,4032,942878,167670
2019-12-16,5286,746196,243264
2019-12-17,6659,872836,178176
2019-12-18,145452,1284820,79145
2019-12-19,5984,638212,69511
2019-12-20,8602,723197,113905
2019-12-21,20450,632008,180335
2019-12-22,4659,866198,116080
2019-12-23,5377,848686,139640
2019-12-24,25085,597199,109257
2019-12-25,8271,531567,102137
2019-12-26,5145,2719926,71236
2019-12-27,6537,459030,228400
2019-12-28,15516,345532,102339
2019-12-29,25737,375418,79548
2019-12-30,38925,1325902,78699
2019-12-31,1910744,2671920,322505
2020-01-01,179949,951728,143378
2020-01-02,279421,719911,201526
2020-01-03,217464,586408,112304
2020-01-04,96878,521846,95767
2020-01-05,276964,656442,122575
2020-01-06,104595,479088,83672
2020-01-07,63043,404121,721932
2020-01-08,150645,484390,357958
2020-01-09,383338,1407211,107554
2020-01-10,30913,641860,84026
2020-01-11,353475,880521,518868
2020-01-12,53339,560411,106624
2020-01-13,85031,655808,159786
2020-01-14,31421,593617,320703
2020-01-15,237353,840947,257533
2020-01-16,150086,691015,187526
2020-01-17,413965,966151,233815
2020-01-18,607257,1035658,286929
2020-01-19,2088925,2048694,493301
2020-01-20,10862670,9815216,4555762
2020-01-21,24434315,24547622,18674435
2020-01-22,30704753,26869864,26196830
2020-01-23,30650497,35001328,25864803
2020-01-24,29940328,34517669,24357973
2020-01-25,29529582,35564038,23154788
2020-01-26,27662421,30457297,22814231
2020-01-27,26056019,27884602,22629716
2020-01-28,25450565,25979694,22918152
2020-01-29,25667313,25436582,23004547
2020-01-30,22244720,24767274,18590563
2020-01-31,20278571,26801162,24095914
2020-02-01,18423772,30400414,23910586
2020-02-02,19896640,26983546,17594090
2020-02-03,15131196,25978694,15763379
2020-02-04,20085012,26712514,12384241
2020-02-05,16391488,26371289,11935882
2020-02-06,23735995,26075061,23721954
2020-02-07,28066970,30992229,9290006
2020-02-08,15602276,24705663,11364486
2020-02-09,14733129,25536051,9539279
2020-02-10,19773925,26424500,14539449
2020-02-11,13592835,21719954,10156575
2020-02-12,11957633,21868750,8190068
2020-02-13,12499621,23656957,17653444
2020-02-14,12345347,16741683,9959083
2020-02-15,10139791,17326539,6518915
2020-02-16,11302605,16888647,5070203
2020-02-17,10141745,14613931,6887924
2020-02-18,11197900,13029752,9831822
2020-02-19,7446951,11524691,4878403
2020-02-20,9038544,11383815,4545472
2020-02-21,11580390,15136659,4935034
2020-02-22,10064523,11907484,5227493
